,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
CO_Embed2_Dist_tau_d_expfit_meandiff,0.6851761789856045,0.7338769153458596,0.9657517063318649,-0.21528664378155268,0.8721027331899163,0.9311682232177929,-0.6221671378460755,0.7211867121488335,0.24085839578289114,0.17587756355996745,1.0,-0.21528664378155252,-0.8383693065073066,0.8462926292267148,-0.11811915055424552,0.9087884300254667,0.9779243195772992,-0.8300745043044835,0.3365245212537148,0.7956454295193115,-0.8591569944296619,-0.951216128102912
IN_AutoMutualInfoStats_40_gaussian_fmmi,-0.354760466227828,-0.0428592318378953,-0.02390918150092463,1.0,-0.2683338938889734,0.06359396319286134,-0.12546888557523678,0.39709894750124114,0.029783465096542273,0.682557201655211,-0.21528664378155252,1.0,-0.33423639950910633,0.3226340591887144,-0.26888584825522027,0.20279916037263776,-0.3098866597049238,0.22048328288871913,0.3825913554404569,0.4177473972535926,-0.300068635050237,-0.08943137346308702
FC_LocalSimple_mean1_tauresrat,-0.5328830765011935,-0.6885183873585269,-0.9315474127161856,-0.33423639950910633,-0.6681771596646958,-0.9407146547444087,0.7363566166094376,-0.943818427482939,-0.3604724046204727,-0.5328639373962423,-0.8383693065073066,-0.33423639950910633,1.0,-0.9771135798199142,0.3364471999231919,-0.9877610063173227,-0.7646804303562134,0.7133074881669886,-0.4166937953686286,-0.9902321615348532,0.9990454292859311,0.9649986734374671
DN_OutlierInclude_p_001_mdrmd,0.5110772673827897,0.6555494047865333,0.9177016981996258,0.3226340591887144,0.7529280819417662,0.9491405132635808,-0.7060112531514693,0.8592234667999018,0.2806531685108824,0.4932669677847108,0.8462926292267148,0.3226340591887144,-0.9771135798199142,1.0,-0.32967164569178414,0.9808850456116013,0.7534665841555733,-0.7285615569749164,0.5331211855313296,0.9888118879867026,-0.9797657818363763,-0.9606899595465103
DN_OutlierInclude_n_001_mdrmd,-0.6598726447080863,-0.04657184124911838,-0.31497799158055945,-0.26888584825522027,-0.3134554873419633,-0.4191654360250925,0.8349192628985189,-0.21898684111723854,-0.9026150447151756,-0.019570399817145222,-0.11811915055424552,-0.26888584825522027,0.3364471999231919,-0.32967164569178414,1.0,-0.2971166634285478,0.05441605216841883,0.6017200444347368,0.39707866053826485,-0.32768030940770465,0.32063572724580724,0.25212675002923235
SP_Summaries_welch_rect_area_5_1,0.5872334898568218,0.7330956687644108,0.9685712341504912,0.20279916037263776,0.7554590324830882,0.9716627102265127,-0.7305194103002023,0.9005877028484206,0.3314510684296429,0.46579334709463194,0.9087884300254667,0.20279916037263776,-0.9877610063173227,0.9808850456116013,-0.2971166634285478,1.0,0.8423553057429122,-0.7709384765313672,0.4302736238993024,0.9734892982640613,-0.9925327097454106,-0.9931225904398365
SB_BinaryStats_diff_longstretch0,0.5990217133977467,0.7648621246148642,0.9100617426080859,-0.3098866597049238,0.7802627574890932,0.8437590080868304,-0.4885042104591971,0.6906367461071476,0.12787785809167992,0.17503501050350123,0.9779243195772992,-0.3098866597049238,-0.7646804303562134,0.7534665841555733,0.05441605216841883,0.8423553057429122,1.0,-0.72648495030046,0.322152008715972,0.7095050990784025,-0.7873729013877445,-0.8963630302429858
SB_MotifThree_quantile_hh,-0.9512159343450285,-0.49275140039296383,-0.8748816777724487,0.22048328288871913,-0.8995208348589934,-0.8972958011267615,0.8904401138973025,-0.5353848491601453,-0.6712892216112856,0.07653737087797531,-0.8300745043044835,0.22048328288871913,0.7133074881669886,-0.7285615569749164,0.6017200444347368,-0.7709384765313672,-0.72648495030046,1.0,0.05176105268343654,-0.6638683241547124,0.728806244229189,0.8019222360501175
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,-0.3549402647804734,0.29603110340987054,0.27035009434370144,0.3825913554404569,0.28985592423732326,0.30301425519163105,0.18136073285420473,0.3131656815806999,-0.6239434959239816,0.49712008580063455,0.3365245212537148,0.3825913554404569,-0.4166937953686286,0.5331211855313296,0.39707866053826485,0.4302736238993024,0.322152008715972,0.05176105268343654,1.0,0.5124317736544325,-0.4222012232226414,-0.4081119737372485
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0.4547337774994132,0.6549249057231266,0.8908382004279579,0.4177473972535926,0.6546948100898903,0.9169155068141408,-0.6951561744911762,0.915159351305063,0.29326658981000364,0.5758393736714958,0.7956454295193115,0.4177473972535926,-0.9902321615348532,0.9888118879867026,-0.32768030940770465,0.9734892982640613,0.7095050990784025,-0.6638683241547124,0.5124317736544325,1.0,-0.987739476104739,-0.9417321320056855
SP_Summaries_welch_rect_centroid,-0.5467734278453736,-0.688260441275882,-0.9436097995272712,-0.300068635050237,-0.6947331960866479,-0.9504456522082443,0.7322145622332077,-0.936670299190106,-0.34972029567143037,-0.5047478227012451,-0.8591569944296619,-0.300068635050237,0.9990454292859311,-0.9797657818363763,0.32063572724580724,-0.9925327097454106,-0.7873729013877445,0.728806244229189,-0.4222012232226414,-0.987739476104739,1.0,0.9743641664699075
FC_LocalSimple_mean3_stderr,-0.6268203781631057,-0.7436352254598411,-0.9865142559414295,-0.08943137346308702,-0.800945062150554,-0.9783718402898194,0.714282138669636,-0.8699479713873061,-0.31457906722103257,-0.3902610399659461,-0.951216128102912,-0.08943137346308702,0.9649986734374671,-0.9606899595465103,0.25212675002923235,-0.9931225904398365,-0.8963630302429858,0.8019222360501175,-0.4081119737372485,-0.9417321320056855,0.9743641664699075,1.0
